IntRate,MoneySupply,MinWages,GovDebt,Food,Housing,HouseItems,Clothing,Transport,Communication,Health,Personal,Education,INFLATION
1.46,24.199.689,136.00,492.136.23,0.84 ,0.19 ,0.43 ,0.21 ,0.39 ,1.82 ,0.59 ,0.12 ,3.05,0.62 
1.45,23.068.674,136.00,494.285.94,-0.25 ,0.01 ,0.29 ,-0.67 ,0.40 ,0.04 ,0.22 ,0.36 ,1.32,0.13 
1.45,22.732.484,136.00,493.089.13,-0.46 ,0.17 ,0.28 ,-1.44 ,1.68 ,0.07 ,0.27 ,-0.07 ,-0.26,0.22 
1.30,23.279.829,151.00,500.897.64,-0.36 ,0.00 ,0.19 ,0.72 ,0.51 ,-0.29 ,0.07 ,3.55 ,0.01,0.42 
1.49,22.470.333,151.00,505.608.51,-0.67 ,0.45 ,0.25 ,0.35 ,0.13 ,0.18 ,0.03 ,0.13 ,0.07,0.01 
1.39,23.226.893,151.00,508.589.35,0.11 ,-0.03 ,0.42 ,0.92 ,0.03 ,2.68 ,0.44 ,0.04 ,-0.19,0.23 
1.31,23.556.236,151.00,510.648.18,1.78 ,1.29 ,0.33 ,0.79 ,2.98 ,7.61 ,0.48 ,0.20 ,-0.25,1.61 
1.41,23.493.551,151.00,509.570.07,2.07 ,0.43 ,0.82 ,0.42 ,2.70 ,-0.04 ,0.89 ,0.32 ,0.20,1.31 
1.22,24.798.317,151.00,512.983.39,0.53 ,0.14 ,0.61 ,0.57 ,-0.01 ,0.19 ,-0.11 ,0.18 ,0.26,0.23 
1.29,24.265.860,151.00,520.874.05,0.16 ,0.04 ,0.39 ,0.63 ,0.13 ,0.05 ,-0.06 ,0.17 ,0.10,0.14 
1.22,25.540.755,151.00,520.317.24,-0.07 ,0.74 ,0.53 ,0.51 ,0.71 ,0.10 ,-0.11 ,0.07 ,0.20,0.32 
1.20,32.633.056,151.00,529.581.47,-0.48 ,0.96 ,0.55 ,1.07 ,1.87 ,0.04 ,-0.09 ,0.49 ,0.21,0.59 
1.27,27.419.363,151.00,541.333.74,0.63 ,0.65 ,0.60 ,-0.05 ,0.72 ,0.32 ,0.17 ,0.38 ,1.41,0.57 
1.02,28.152.323,151.00,550.253.48,0.05 ,0.38 ,0.13 ,-0.56 ,0.77 ,0.14 ,0.72 ,0.18 ,2.88,0.46 
1.26,26.731.201,151.00,561.959.20,1.17 ,0.15 ,-0.06 ,-0.42 ,0.12 ,0.07 ,0.60 ,0.04 ,0.49,0.38 
1.19,27.054.050,180.00,565.464.63,1.80 ,0.64 ,0.11 ,-0.11 ,-0.32 ,0.00 ,0.19 ,0.98 ,0.64,0.58 
1.34,26.844.819,180.00,581.727.09,0.58 ,1.06 ,-0.07 ,0.14 ,0.30 ,0.05 ,-0.05 ,0.50 ,0.07,0.41 
1.27,27.749.549,180.00,586.060.21,0.10 ,1.02 ,0.04 ,1.04 ,1.34 ,1.17 ,-0.64 ,0.08 ,0.14,0.52 
1.50,27.685.495,180.00,606.367.82,0.67 ,1.97 ,0.36 ,0.69 ,2.08 ,5.43 ,0.30 ,1.27 ,0.20,1.33 
1.60,28.004.843,180.00,622.953.86,0.83 ,0.78 ,0.25 ,0.43 ,0.64 ,0.39 ,0.73 ,1.05 ,0.45,0.70 
1.32,28.812.161,180.00,635.685.65,0.39 ,0.55 ,0.17 ,0.24 ,0.07 ,-0.15 ,0.37 ,0.16 ,0.40,0.28 
1.53,28.609.530,180.00,646.099.14,1.15 ,0.67 ,1.09 ,0.61 ,0.98 ,0.07 ,0.30 ,1.31 ,0.01,0.83 
