Data;4501 - Divida líquida do governo geral - Saldos em R$ milhões - R$ (milhões)
01/1998;291.693,72
02/1998;298.259,88
03/1998;299.917,75
04/1998;303.963,92
05/1998;308.819,71
06/1998;316.869,00
07/1998;320.226,59
08/1998;319.590,12
09/1998;326.932,65
10/1998;335.651,22
11/1998;352.279,10
12/1998;367.939,77
01/1999;446.437,53
02/1999;458.344,47
03/1999;433.747,54
04/1999;433.328,25
05/1999;443.412,11
06/1999;452.544,99
07/1999;460.525,33
08/1999;473.480,22
09/1999;474.535,25
10/1999;480.537,52
11/1999;480.484,46
12/1999;484.454,45
01/2000;492.136,23
02/2000;494.285,94
03/2000;493.089,13
04/2000;500.897,64
05/2000;505.608,51
06/2000;508.589,35
07/2000;510.648,18
08/2000;509.570,07
09/2000;512.983,39
10/2000;520.874,05
11/2000;520.317,24
12/2000;529.581,47
01/2001;541.333,74
02/2001;550.253,48
03/2001;561.959,20
04/2001;565.464,63
05/2001;581.727,09
06/2001;586.060,21
07/2001;606.367,82
08/2001;622.953,86
09/2001;635.685,65
10/2001;646.099,14
11/2001;638.367,60
12/2001;648.685,21
01/2002;667.556,51
02/2002;662.702,47
03/2002;659.375,87
04/2002;666.783,78
05/2002;689.710,63
06/2002;729.391,55
07/2002;805.192,46
08/2002;757.627,40
09/2002;859.038,50
10/2002;837.604,54
11/2002;851.603,55
12/2002;859.712,10
01/2003;877.925,86
02/2003;892.342,11
03/2003;879.741,25
04/2003;834.738,56
05/2003;853.200,52
06/2003;854.468,92
07/2003;877.839,79
08/2003;889.745,05
09/2003;866.853,69
10/2003;863.060,33
11/2003;880.388,88
12/2003;901.262,95
01/2004;917.346,23
02/2004;910.484,19
03/2004;913.609,96
04/2004;918.095,92
05/2004;941.268,02
06/2004;946.539,21
07/2004;944.978,98
08/2004;945.701,39
09/2004;942.224,68
10/2004;949.353,89
11/2004;945.276,05
12/2004;961.136,09
01/2005;958.542,86
02/2005;961.434,65
03/2005;970.529,23
04/2005;956.982,76
05/2005;952.854,87
06/2005;960.506,01
07/2005;970.176,25
08/2005;976.027,54
09/2005;971.650,69
10/2005;978.031,30
11/2005;983.151,52
12/2005;1.010.240,62
01/2006;1.022.617,57
02/2006;1.023.883,68
03/2006;1.032.060,29
04/2006;1.019.291,28
05/2006;1.042.621,49
06/2006;1.037.934,84
07/2006;1.045.318,25
08/2006;1.049.893,42
09/2006;1.061.646,39
10/2006;1.061.724,39
11/2006;1.074.336,32
12/2006;1.091.255,36
01/2007;1.102.636,37
02/2007;1.111.459,95
03/2007;1.112.960,56
04/2007;1.106.671,09
05/2007;1.105.428,31
06/2007;1.108.049,12
07/2007;1.110.791,71
08/2007;1.123.920,11
09/2007;1.125.937,87
10/2007;1.152.686,61
11/2007;1.161.273,55
12/2007;1.181.418,39
01/2008;1.173.193,13
02/2008;1.187.260,00
03/2008;1.175.814,84
04/2008;1.187.179,50
05/2008;1.205.083,17
06/2008;1.245.468,95
07/2008;1.258.612,60
08/2008;1.252.750,34
09/2008;1.210.130,01
10/2008;1.169.102,57
11/2008;1.147.607,87
12/2008;1.175.202,88
01/2009;1.192.857,29
02/2009;1.198.527,06
03/2009;1.196.634,19
04/2009;1.217.629,67
05/2009;1.255.305,58
06/2009;1.271.909,27
07/2009;1.309.624,96
08/2009;1.315.493,35
09/2009;1.352.484,66
10/2009;1.359.093,20
11/2009;1.358.562,54
12/2009;1.378.128,65
01/2010;1.354.993,66
02/2010;1.380.642,62
03/2010;1.399.577,96
04/2010;1.405.027,69
05/2010;1.407.973,82
06/2010;1.423.889,35
07/2010;1.446.566,97
08/2010;1.459.448,53
09/2010;1.448.230,71
10/2010;1.452.759,58
11/2010;1.468.353,89
12/2010;1.495.284,55
01/2011;1.496.047,48
02/2011;1.514.627,48
03/2011;1.527.057,76
04/2011;1.539.945,02
05/2011;1.555.684,57
06/2011;1.569.058,06
07/2011;1.573.965,23
08/2011;1.568.355,81
09/2011;1.501.918,85
10/2011;1.557.328,59
11/2011;1.535.015,14
12/2011;1.536.153,85
01/2012;1.571.757,02
02/2012;1.590.253,05
03/2012;1.557.626,95
04/2012;1.534.608,97
05/2012;1.516.641,09
06/2012;1.532.365,01
07/2012;1.534.757,32
08/2012;1.559.624,44
09/2012;1.557.624,07
10/2012;1.567.887,31
11/2012;1.564.275,50
12/2012;1.581.280,63
01/2013;1.599.520,85
02/2013;1.631.793,22
03/2013;1.623.965,40
04/2013;1.635.030,71
05/2013;1.618.268,69
06/2013;1.617.045,25
07/2013;1.614.285,77
08/2013;1.615.203,05
09/2013;1.656.896,58
10/2013;1.683.156,11
11/2013;1.647.842,63
12/2013;1.660.187,02
01/2014;1.650.951,25
02/2014;1.686.848,50
03/2014;1.706.644,69
04/2014;1.716.892,60
05/2014;1.750.829,66
06/2014;1.779.742,89
07/2014;1.799.679,43
08/2014;1.838.332,58
09/2014;1.850.280,06
10/2014;1.878.610,91
11/2014;1.891.087,24
12/2014;1.915.773,07
01/2015;1.934.268,91
02/2015;1.927.287,63
03/2015;1.919.732,26
04/2015;1.972.169,01
05/2015;1.984.129,32
06/2015;2.033.575,55
07/2015;2.043.298,54
08/2015;2.034.274,14
09/2015;2.029.610,73
10/2015;2.094.869,64
11/2015;2.160.879,33
12/2015;2.272.217,17
01/2016;2.286.788,39
02/2016;2.360.392,03
03/2016;2.423.128,13
04/2016;2.458.650,72
05/2016;2.493.775,18
06/2016;2.627.112,10
07/2016;2.672.668,30
08/2016;2.742.366,38
09/2016;2.805.851,53
10/2016;2.824.324,97
11/2016;2.831.739,36
12/2016;2.994.966,58
01/2017;3.047.147,56
02/2017;3.109.156,92
03/2017;3.138.396,32
04/2017;3.146.590,00
