Data;433 - Índice nacional de preços ao consumidor-amplo (IPCA) - Var. % mensal;1635 - Índice nacional de preços ao consumidor-Amplo (IPCA) - Alimentação e bebidas - Var. % mensal;1636 - Índice nacional de preços ao consumidor-Amplo (IPCA) - Habitação - Var. % mensal;1637 - Índice nacional de preços ao consumidor-Amplo (IPCA) - Artigos de residência - Var. % mensal;1638 - Índice nacional de preços ao consumidor-Amplo (IPCA)- Vestuário - Var. % mensal;1639 - Índice de nacional de preços ao consumidor-Amplo (IPCA) - Transportes - Var. % mensal;1640 - Índice nacional de preços ao consumidor-Amplo (IPCA) - Comunicação - Var. % mensal;1641 - Índice nacional de preços ao consumidor-Amplo (IPCA) - Saúde e cuidados pessoais - Var. % mensal;1642 - Índice nacional de preços ao consumidor-Amplo (IPCA) - Despesas pessoais - Var. % mensal;1643 - Índice nacional de preços ao consumidor-Amplo (IPCA) - Educação - Var. % mensal
01/1980;6,62 ;-;-;-;-;-;-;-;-;-
02/1980;4,62 ;-;-;-;-;-;-;-;-;-
03/1980;6,04 ;-;-;-;-;-;-;-;-;-
04/1980;5,29 ;-;-;-;-;-;-;-;-;-
05/1980;5,70 ;-;-;-;-;-;-;-;-;-
06/1980;5,31 ;-;-;-;-;-;-;-;-;-
07/1980;5,55 ;-;-;-;-;-;-;-;-;-
08/1980;4,95 ;-;-;-;-;-;-;-;-;-
09/1980;4,23 ;-;-;-;-;-;-;-;-;-
10/1980;9,48 ;-;-;-;-;-;-;-;-;-
11/1980;6,67 ;-;-;-;-;-;-;-;-;-
12/1980;6,61 ;-;-;-;-;-;-;-;-;-
01/1981;6,84 ;-;-;-;-;-;-;-;-;-
02/1981;6,40 ;-;-;-;-;-;-;-;-;-
03/1981;4,97 ;-;-;-;-;-;-;-;-;-
04/1981;6,46 ;-;-;-;-;-;-;-;-;-
05/1981;5,56 ;-;-;-;-;-;-;-;-;-
06/1981;5,52 ;-;-;-;-;-;-;-;-;-
07/1981;6,26 ;-;-;-;-;-;-;-;-;-
08/1981;5,50 ;-;-;-;-;-;-;-;-;-
09/1981;5,26 ;-;-;-;-;-;-;-;-;-
10/1981;5,08 ;-;-;-;-;-;-;-;-;-
11/1981;5,27 ;-;-;-;-;-;-;-;-;-
