Data;1786 - BM - Papel moeda emitido (saldo em final de período) - u.m.c. (mil)
01/1980;161.309.000
02/1980;169.309.000
03/1980;173.809.000
04/1980;179.809.000
05/1980;187.309.000
06/1980;200.809.000
07/1980;209.809.000
08/1980;220.309.000
09/1980;224.309.000
10/1980;242.309.000
11/1980;267.309.000
12/1980;326.309.000
01/1981;296.309.000
02/1981;320.309.000
03/1981;285.309.000
04/1981;317.309.000
05/1981;325.309.000
06/1981;328.309.000
07/1981;367.309.000
08/1981;380.309.000
09/1981;392.309.000
10/1981;435.309.000
11/1981;471.309.000
12/1981;577.309.000
01/1982;572.000.000
02/1982;584.000.000
03/1982;569.000.000
04/1982;588.000.000
05/1982;589.000.000
06/1982;680.000.000
07/1982;718.000.000
08/1982;726.000.000
09/1982;772.000.000
10/1982;791.000.000
11/1982;952.000.000
12/1982;1.112.000.000
01/1983;1.102.000.000
02/1983;1.112.000.000
03/1983;1.087.000.000
04/1983;1.217.000.000
05/1983;1.182.000.000
06/1983;1.346.000.000
07/1983;1.262.000.000
08/1983;1.322.000.000
09/1983;1.516.000.000
10/1983;1.646.000.000
11/1983;1.746.000.000
12/1983;2.046.000.000
01/1984;2.026.000.000
02/1984;2.136.000.000
03/1984;2.151.000.000
04/1984;2.566.000.000
05/1984;2.671.000.000
06/1984;2.777.000.000
07/1984;3.246.000.000
08/1984;3.626.000.000
09/1984;4.036.000.000
10/1984;4.122.000.000
11/1984;4.962.000.000
12/1984;7.151.000.000
01/1985;6.482.000.000
02/1985;7.152.000.000
03/1985;7.452.000.000
04/1985;7.901.000.000
05/1985;8.901.000.000
06/1985;10.430.000.000
07/1985;11.630.000.000
08/1985;13.381.000.000
09/1985;15.160.000.000
10/1985;15.811.000.000
11/1985;20.310.000.000
12/1985;28.110.000.000
01/1986;26.611.000.000
02/1986;29.212.000.000
03/1986;37.291.000
04/1986;43.651.000
05/1986;48.501.000
06/1986;53.251.000
07/1986;55.721.000
08/1986;60.581.000
09/1986;63.452.000
10/1986;68.802.000
11/1986;76.967.000
12/1986;92.610.000
01/1987;77.340.000
02/1987;86.620.000
03/1987;83.750.000
04/1987;89.986.000
05/1987;94.006.000
06/1987;104.116.000
07/1987;125.056.000
08/1987;132.066.000
09/1987;147.555.000
10/1987;170.805.000
11/1987;190.755.000
12/1987;271.615.000
01/1988;250.215.000
02/1988;265.005.000
03/1988;324.145.000
04/1988;349.225.000
05/1988;396.435.000
06/1988;459.655.000
07/1988;565.455.000
08/1988;585.115.000
09/1988;802.428.000
10/1988;1.059.080.000
11/1988;1.278.671.000
12/1988;2.284.466.000
01/1989;2.467.000
02/1989;2.668.000
03/1989;3.055.000
04/1989;3.959.000
05/1989;4.264.000
06/1989;5.455.000
07/1989;6.164.000
08/1989;7.510.000
09/1989;10.778.000
10/1989;13.497.000
11/1989;21.746.000
12/1989;43.926.000
01/1990;46.473.000
02/1990;87.605.000
03/1990;259.493.000
04/1990;366.660.000
05/1990;472.687.000
06/1990;477.415.000
07/1990;443.179.000
08/1990;496.013.000
09/1990;594.799.000
10/1990;578.832.000
11/1990;706.918.000
12/1990;1.044.649.000
01/1991;850.048.000
02/1991;1.136.320.000
03/1991;1.288.906.000
04/1991;1.258.642.000
05/1991;1.390.871.000
06/1991;1.553.950.000
07/1991;1.548.385.000
08/1991;1.742.939.000
09/1991;1.998.351.000
10/1991;2.248.772.000
11/1991;2.793.530.000
12/1991;3.974.585.000
01/1992;3.720.326.000
02/1992;5.215.283.000
03/1992;4.791.726.000
04/1992;6.336.014.000
05/1992;7.429.874.000
06/1992;8.799.261.000
07/1992;11.044.241.000
08/1992;12.759.130.000
09/1992;15.970.933.000
10/1992;21.513.117.000
11/1992;27.617.072.000
12/1992;43.211.163.000
01/1993;40.335.156.000
02/1993;54.497.235.000
03/1993;58.676.266.000
04/1993;86.242.693.000
05/1993;98.432.485.000
