date,inflation,food,housing,house_items,clothing,transport,communication,health,personal,education,int_rate,money_supply,min_wages,gov_debt
2000-01-01,"0,62 ","0,84 ","0,19 ","0,43 ","0,21 ","0,39 ","1,82 ","0,59 ","0,12 ","3,05","1,46",24199689,"136,00","492.136,23"
2000-02-01,"0,13 ","-0,25 ","0,01 ","0,29 ","-0,67 ","0,40 ","0,04 ","0,22 ","0,36 ","1,32","1,45",23068674,"136,00","494.285,94"
2000-03-01,"0,22 ","-0,46 ","0,17 ","0,28 ","-1,44 ","1,68 ","0,07 ","0,27 ","-0,07 ","-0,26","1,45",22732484,"136,00","493.089,13"
2000-04-01,"0,42 ","-0,36 ","0,00 ","0,19 ","0,72 ","0,51 ","-0,29 ","0,07 ","3,55 ","0,01","1,30",23279829,"151,00","500.897,64"
2000-05-01,"0,01 ","-0,67 ","0,45 ","0,25 ","0,35 ","0,13 ","0,18 ","0,03 ","0,13 ","0,07","1,49",22470333,"151,00","505.608,51"
2000-06-01,"0,23 ","0,11 ","-0,03 ","0,42 ","0,92 ","0,03 ","2,68 ","0,44 ","0,04 ","-0,19","1,39",23226893,"151,00","508.589,35"
2000-07-01,"1,61 ","1,78 ","1,29 ","0,33 ","0,79 ","2,98 ","7,61 ","0,48 ","0,20 ","-0,25","1,31",23556236,"151,00","510.648,18"
2000-08-01,"1,31 ","2,07 ","0,43 ","0,82 ","0,42 ","2,70 ","-0,04 ","0,89 ","0,32 ","0,20","1,41",23493551,"151,00","509.570,07"
2000-09-01,"0,23 ","0,53 ","0,14 ","0,61 ","0,57 ","-0,01 ","0,19 ","-0,11 ","0,18 ","0,26","1,22",24798317,"151,00","512.983,39"
2000-10-01,"0,14 ","0,16 ","0,04 ","0,39 ","0,63 ","0,13 ","0,05 ","-0,06 ","0,17 ","0,10","1,29",24265860,"151,00","520.874,05"
2000-11-01,"0,32 ","-0,07 ","0,74 ","0,53 ","0,51 ","0,71 ","0,10 ","-0,11 ","0,07 ","0,20","1,22",25540755,"151,00","520.317,24"
2000-12-01,"0,59 ","-0,48 ","0,96 ","0,55 ","1,07 ","1,87 ","0,04 ","-0,09 ","0,49 ","0,21","1,20",32633056,"151,00","529.581,47"
2001-01-01,"0,57 ","0,63 ","0,65 ","0,60 ","-0,05 ","0,72 ","0,32 ","0,17 ","0,38 ","1,41","1,27",27419363,"151,00","541.333,74"
2001-02-01,"0,46 ","0,05 ","0,38 ","0,13 ","-0,56 ","0,77 ","0,14 ","0,72 ","0,18 ","2,88","1,02",28152323,"151,00","550.253,48"
2001-03-01,"0,38 ","1,17 ","0,15 ","-0,06 ","-0,42 ","0,12 ","0,07 ","0,60 ","0,04 ","0,49","1,26",26731201,"151,00","561.959,20"
2001-04-01,"0,58 ","1,80 ","0,64 ","0,11 ","-0,11 ","-0,32 ","0,00 ","0,19 ","0,98 ","0,64","1,19",27054050,"180,00","565.464,63"
2001-05-01,"0,41 ","0,58 ","1,06 ","-0,07 ","0,14 ","0,30 ","0,05 ","-0,05 ","0,50 ","0,07","1,34",26844819,"180,00","581.727,09"
2001-06-01,"0,52 ","0,10 ","1,02 ","0,04 ","1,04 ","1,34 ","1,17 ","-0,64 ","0,08 ","0,14","1,27",27749549,"180,00","586.060,21"
2001-07-01,"1,33 ","0,67 ","1,97 ","0,36 ","0,69 ","2,08 ","5,43 ","0,30 ","1,27 ","0,20","1,50",27685495,"180,00","606.367,82"
2001-08-01,"0,70 ","0,83 ","0,78 ","0,25 ","0,43 ","0,64 ","0,39 ","0,73 ","1,05 ","0,45","1,60",28004843,"180,00","622.953,86"
2001-09-01,"0,28 ","0,39 ","0,55 ","0,17 ","0,24 ","0,07 ","-0,15 ","0,37 ","0,16 ","0,40","1,32",28812161,"180,00","635.685,65"
2001-10-01,"0,83 ","1,15 ","0,67 ","1,09 ","0,61 ","0,98 ","0,07 ","0,30 ","1,31 ","0,01","1,53",28609530,"180,00","646.099,14"
2001-11-01,"0,71 ","1,31 ","0,68 ","1,14 ","0,89 ","0,35 ","0,04 ","0,45 ","0,60 ","0,31","1,39",30066738,"180,00","638.367,60"
2001-12-01,"0,65 ","0,56 ","0,48 ","1,25 ","1,91 ","0,69 ","-0,05 ","0,99 ","0,17 ","0,12","1,39",37668836,"180,00","648.685,21"
2002-01-01,"0,52 ","0,85 ","2,81 ","1,05 ","0,55 ","-1,50 ","0,43 ","0,30 ","0,57 ","0,41","1,53",32388231,"180,00","667.556,51"
2002-02-01,"0,36 ","0,20 ","0,23 ","0,66 ","-0,67 ","-0,50 ","0,40 ","1,10 ","0,37 ","4,70","1,25",32102817,"180,00","662.702,47"
2002-03-01,"0,60 ","0,39 ","0,93 ","-0,13 ","0,00 ","1,04 ","0,02 ","1,29 ","-0,25 ","0,65","1,37",32547930,"180,00","659.375,87"
2002-04-01,"0,80 ","-0,32 ","1,40 ","-0,02 ","1,05 ","2,02 ","0,01 ","0,76 ","0,54 ","0,38","1,48",31178230,"200,00","666.783,78"
2002-05-01,"0,21 ","-0,59 ","0,28 ","0,83 ","1,39 ","0,33 ","0,00 ","0,17 ","0,68 ","0,44","1,41",32930327,"200,00","689.710,63"
2002-06-01,"0,42 ","0,08 ","1,09 ","0,06 ","1,39 ","0,32 ","0,22 ","0,23 ","0,29 ","0,18","1,33",33899629,"200,00","729.391,55"
2002-07-01,"1,19 ","1,05 ","1,80 ","0,21 ","0,91 ","0,55 ","9,31 ","0,53 ","1,02 ","0,12","1,54",34679951,"200,00","805.192,46"
2002-08-01,"0,65 ","1,94 ","0,43 ","0,66 ","0,21 ","-0,15 ","0,47 ","0,50 ","0,53 ","0,29","1,44",36396984,"200,00","757.627,40"
2002-09-01,"0,72 ","1,96 ","-0,39 ","1,73 ","0,55 ","0,34 ","0,11 ","0,64 ","0,61 ","0,40","1,38",37819862,"200,00","859.038,50"
2002-10-01,"1,31 ","2,79 ","0,30 ","2,27 ","1,22 ","1,20 ","0,06 ","0,63 ","1,12 ","0,13","1,65",39188893,"200,00","837.604,54"
2002-11-01,"3,02 ","5,85 ","2,02 ","2,88 ","0,97 ","4,68 ","0,03 ","0,88 ","0,41 ","0,24","1,54",41071902,"200,00","851.603,55"
2002-12-01,"2,10 ","3,91 ","1,42 ","2,12 ","0,93 ","1,33 ","0,03 ","2,74 ","2,19 ","0,27","1,74",49931066,"200,00","859.712,10"
2003-01-01,"2,25 ","2,15 ","1,76 ","1,90 ","0,94 ","4,20 ","0,32 ","1,44 ","1,94 ","1,23","1,97",43639339,"200,00","877.925,86"
2003-02-01,"1,57 ","1,22 ","0,18 ","1,57 ","0,11 ","3,00 ","3,24 ","0,67 ","0,64 ","5,64","1,83",43663530,"200,00","892.342,11"
2003-03-01,"1,23 ","1,66 ","1,09 ","1,19 ","0,60 ","0,70 ","1,58 ","2,39 ","0,72 ","0,92","1,78",39909573,"200,00","879.741,25"
